Year,Units,Пол,Регионы,Местность,Образование,Брачное состояние,гражданство,Value
2011,на 1000 родившихся,мальчики,Павлодарская,,,,,9.486523113988858
2012,на 1000 родившихся,мальчики,Павлодарская,,,,,8.158332074331469
2013,на 1000 родившихся,мальчики,Павлодарская,,,,,5.5523085914669785
2014,на 1000 родившихся,мальчики,Павлодарская,,,,,4.179728317659353
2015,на 1000 родившихся,мальчики,Павлодарская,,,,,4.917025199754149
2016,на 1000 родившихся,мальчики,Павлодарская,,,,,4.422754308372731
2017,на 1000 родившихся,мальчики,Павлодарская,,,,,5.28169014084507
2018,на 1000 родившихся,мальчики,Павлодарская,,,,,3.64
2010,на 1000 родившихся,мальчики,Северо-Казахстанская,,,,,9.41492938802959
2011,на 1000 родившихся,мальчики,Северо-Казахстанская,,,,,8.678237650200266
2012,на 1000 родившихся,мальчики,Северо-Казахстанская,,,,,8.292245629762439
2013,на 1000 родившихся,мальчики,Северо-Казахстанская,,,,,6.503700381251402
2014,на 1000 родившихся,мальчики,Северо-Казахстанская,,,,,6.162597771983884
2015,на 1000 родившихся,мальчики,Северо-Казахстанская,,,,,3.2948929159802307
2016,на 1000 родившихся,мальчики,Северо-Казахстанская,,,,,6.329113924050633
2017,на 1000 родившихся,мальчики,Северо-Казахстанская,,,,,5.896542481908336
2018,на 1000 родившихся,мальчики,Северо-Казахстанская,,,,,7.28
2010,на 1000 родившихся,мальчики,Восточно-Казахстанская,,,,,17.68809167912307
2011,на 1000 родившихся,мальчики,Восточно-Казахстанская,,,,,15.737372028090364
2012,на 1000 родившихся,мальчики,Восточно-Казахстанская,,,,,13.942549974802619
2013,на 1000 родившихся,мальчики,Восточно-Казахстанская,,,,,10.62473438164046
2014,на 1000 родившихся,мальчики,Восточно-Казахстанская,,,,,8.42397971701971
2015,на 1000 родившихся,мальчики,Восточно-Казахстанская,,,,,7.00076837701699
2016,на 1000 родившихся,мальчики,Восточно-Казахстанская,,,,,7.2044902404289175
2017,на 1000 родившихся,мальчики,Восточно-Казахстанская,,,,,5.340103300358924
2018,на 1000 родившихся,мальчики,Восточно-Казахстанская,,,,,5.9
2010,на 1000 родившихся,мальчики,г.Нур-Султан,,,,,8.692744901370776
2011,на 1000 родившихся,мальчики,г.Нур-Султан,,,,,7.539335664335664
2012,на 1000 родившихся,мальчики,г.Нур-Султан,,,,,8.117045796171961
2013,на 1000 родившихся,мальчики,г.Нур-Султан,,,,,5.708765150184437
2014,на 1000 родившихся,мальчики,г.Нур-Султан,,,,,4.366106080206986
2015,на 1000 родившихся,мальчики,г.Нур-Султан,,,,,5.108556832694764
2016,на 1000 родившихся,мальчики,г.Нур-Султан,,,,,4.0556604433256425
2017,на 1000 родившихся,мальчики,г.Нур-Султан,,,,,3.4644385571632363
2018,на 1000 родившихся,мальчики,г.Нур-Султан,,,,,4.07
2010,на 1000 родившихся,мальчики,г.Алматы,,,,,16.608787558508233
2011,на 1000 родившихся,мальчики,г.Алматы,,,,,15.134230739980225
2012,на 1000 родившихся,мальчики,г.Алматы,,,,,10.747259088286206
2013,на 1000 родившихся,мальчики,г.Алматы,,,,,9.323843416370106
2014,на 1000 родившихся,мальчики,г.Алматы,,,,,6.9489544096635925
2015,на 1000 родившихся,мальчики,г.Алматы,,,,,6.788447296963713
2016,на 1000 родившихся,мальчики,г.Алматы,,,,,5.629321422015542
2017,на 1000 родившихся,мальчики,г.Алматы,,,,,4.643773677135525
2018,на 1000 родившихся,мальчики,г.Алматы,,,,,6.13
2010,на 1000 родившихся,,Республика Казахстан,городское население,,,,13.926846239953209
2011,на 1000 родившихся,,Республика Казахстан,городское население,,,,12.40099836880687
2012,на 1000 родившихся,,Республика Казахстан,городское население,,,,10.562647754137117
2013,на 1000 родившихся,,Республика Казахстан,городское население,,,,8.490016369639406
2014,на 1000 родившихся,,Республика Казахстан,городское население,,,,6.956763713520472
2015,на 1000 родившихся,,Республика Казахстан,городское население,,,,6.919108241979929
2016,на 1000 родившихся,,Республика Казахстан,городское население,,,,6.048353129475192
2017,на 1000 родившихся,,Республика Казахстан,городское население,,,,4.742166044044146
2018,на 1000 родившихся,,Республика Казахстан,городское население,,,,5.62
2010,на 1000 родившихся,,Акмолинская,городское население,,,,12.135221034383127
2011,на 1000 родившихся,,Акмолинская,городское население,,,,11.928429423459244
2012,на 1000 родившихся,,Акмолинская,городское население,,,,8.016032064128256
2013,на 1000 родившихся,,Акмолинская,городское население,,,,10.93210586881473
2014,на 1000 родившихся,,Акмолинская,городское население,,,,7.778738115816767
2015,на 1000 родившихся,,Акмолинская,городское население,,,,4.862700228832952
2016,на 1000 родившихся,,Акмолинская,городское население,,,,4.319032536711776
2017,на 1000 родившихся,,Акмолинская,городское население,,,,2.6354319180087846
2018,на 1000 родившихся,,Акмолинская,городское население,,,,4.46
2010,на 1000 родившихся,,Актюбинская,городское население,,,,15.498154981549813
2011,на 1000 родившихся,,Актюбинская,городское население,,,,8.651399491094146
2012,на 1000 родившихся,,Актюбинская,городское население,,,,10.96204188481675
2013,на 1000 родившихся,,Актюбинская,городское население,,,,8.410028562361155
2014,на 1000 родившихся,,Актюбинская,городское население,,,,7.252812314979278
2015,на 1000 родившихся,,Актюбинская,городское население,,,,6.086074481959137
2016,на 1000 родившихся,,Актюбинская,городское население,,,,7.204822820173504
2017,на 1000 родившихся,,Актюбинская,городское население,,,,3.4023668639053253
2018,на 1000 родившихся,,Актюбинская,городское население,,,,6.76
2010,на 1000 родившихся,,Алматинская,городское население,,,,14.325163962720056
2011,на 1000 родившихся,,Алматинская,городское население,,,,12.307692307692307
2012,на 1000 родившихся,,Алматинская,городское население,,,,9.764309764309765
2013,на 1000 родившихся,,Алматинская,городское население,,,,8.6011035378124
2014,на 1000 родившихся,,Алматинская,городское население,,,,4.158324349299246
2015,на 1000 родившихся,,Алматинская,городское население,,,,6.386861313868612
2016,на 1000 родившихся,,Алматинская,городское население,,,,6.713457430576748
2017,на 1000 родившихся,,Алматинская,городское население,,,,4.5822514128608525
2018,на 1000 родившихся,,Алматинская,городское население,,,,4.39
2010,на 1000 родившихся,,Атырауская,городское население,,,,11.191245958716737
2011,на 1000 родившихся,,Атырауская,городское население,,,,13.853258081067214
2012,на 1000 родившихся,,Атырауская,городское население,,,,13.116346854505709
2013,на 1000 родившихся,,Атырауская,городское население,,,,6.399620763214033
2014,на 1000 родившихся,,Атырауская,городское население,,,,5.421970768505422
2015,на 1000 родившихся,,Атырауская,городское население,,,,5.813953488372092
2016,на 1000 родившихся,,Атырауская,городское население,,,,4.239178937974119
2017,на 1000 родившихся,,Атырауская,городское население,,,,3.7209302325581404
2018,на 1000 родившихся,,Атырауская,городское население,,,,6.05
2010,на 1000 родившихся,,Западно-Казахстанская,городское население,,,,8.335906143871565
2011,на 1000 родившихся,,Западно-Казахстанская,городское население,,,,8.035714285714285
2012,на 1000 родившихся,,Западно-Казахстанская,городское население,,,,7.896221094190638
2013,на 1000 родившихся,,Западно-Казахстанская,городское население,,,,6.202804746494068
2014,на 1000 родившихся,,Западно-Казахстанская,городское население,,,,6.495340299350466
2015,на 1000 родившихся,,Западно-Казахстанская,городское население,,,,5.8512120367790486
2016,на 1000 родившихся,,Западно-Казахстанская,городское население,,,,6.6649577031530365
2017,на 1000 родившихся,,Западно-Казахстанская,городское население,,,,4.993429697766096
2018,на 1000 родившихся,,Западно-Казахстанская,городское население,,,,5.4
2010,на 1000 родившихся,,Жамбылская,городское население,,,,13.395249151634221
2011,на 1000 родившихся,,Жамбылская,городское население,,,,13.574660633484163
2012,на 1000 родившихся,,Жамбылская,городское население,,,,8.771929824561402
2013,на 1000 родившихся,,Жамбылская,городское население,,,,14.042995839112347
2014,на 1000 родившихся,,Жамбылская,городское население,,,,11.285909712722294
2015,на 1000 родившихся,,Жамбылская,городское население,,,,11.649501941583654
2016,на 1000 родившихся,,Жамбылская,городское население,,,,8.832698302736404
2017,на 1000 родившихся,,Жамбылская,городское население,,,,6.670272219217595
2018,на 1000 родившихся,,Жамбылская,городское население,,,,5.24
2010,на 1000 родившихся,,Карагандинская,городское население,,,,11.385606874328678
2011,на 1000 родившихся,,Карагандинская,городское население,,,,7.714462044846739
2012,на 1000 родившихся,,Карагандинская,городское население,,,,8.384685321749673
2013,на 1000 родившихся,,Карагандинская,городское население,,,,6.252481143310837
2014,на 1000 родившихся,,Карагандинская,городское население,,,,6.0855908912446015
2015,на 1000 родившихся,,Карагандинская,городское население,,,,6.607267994794273
2016,на 1000 родившихся,,Карагандинская,городское население,,,,6.19918699186992
2017,на 1000 родившихся,,Карагандинская,городское население,,,,5.845421086815327
2018,на 1000 родившихся,,Карагандинская,городское население,,,,6.5
2010,на 1000 родившихся,,Костанайская,городское население,,,,10.696733159872796
2011,на 1000 родившихся,,Костанайская,городское население,,,,10.733971569480707
2012,на 1000 родившихся,,Костанайская,городское население,,,,14.309301045679693
2013,на 1000 родившихся,,Костанайская,городское население,,,,8.986928104575162
2014,на 1000 родившихся,,Костанайская,городское население,,,,7.685973099094152
2015,на 1000 родившихся,,Костанайская,городское население,,,,9.617953513224686
2016,на 1000 родившихся,,Костанайская,городское население,,,,4.994450610432854
2017,на 1000 родившихся,,Костанайская,городское население,,,,7.751937984496124
2018,на 1000 родившихся,,Костанайская,городское население,,,,7.85
2010,на 1000 родившихся,,Кызылординская,городское население,,,,17.69147788565264
2011,на 1000 родившихся,,Кызылординская,городское население,,,,13.00062906269658
2012,на 1000 родившихся,,Кызылординская,городское население,,,,13.18771893674016
2013,на 1000 родившихся,,Кызылординская,городское население,,,,8.624407072013799
2014,на 1000 родившихся,,Кызылординская,городское население,,,,8.816895632561
2015,на 1000 родившихся,,Кызылординская,городское население,,,,9.575353871773519
2016,на 1000 родившихся,,Кызылординская,городское население,,,,9.872480460715757
2017,на 1000 родившихся,,Кызылординская,городское население,,,,4.0851429800043
2018,на 1000 родившихся,,Кызылординская,городское население,,,,8.22
2010,на 1000 родившихся,,Мангистауская,городское население,,,,14.82059282371295
2011,на 1000 родившихся,,Мангистауская,городское население,,,,14.489194499017682
2012,на 1000 родившихся,,Мангистауская,городское население,,,,8.011653313911145
2013,на 1000 родившихся,,Мангистауская,городское население,,,,6.610841780520053
2014,на 1000 родившихся,,Мангистауская,городское население,,,,7.432575918454024
2015,на 1000 родившихся,,Мангистауская,городское население,,,,4.727014890096903
2016,на 1000 родившихся,,Мангистауская,городское население,,,,7.587592055344789
2017,на 1000 родившихся,,Мангистауская,городское население,,,,4.046858359957401
2018,на 1000 родившихся,,Мангистауская,городское население,,,,5.93
2010,на 1000 родившихся,,Южно-Казахстанская,городское население,,,,17.9718419515993
2011,на 1000 родившихся,,Южно-Казахстанская,городское население,,,,17.279434949864413
2012,на 1000 родившихся,,Южно-Казахстанская,городское население,,,,12.642071354768126
2013,на 1000 родившихся,,Южно-Казахстанская,городское население,,,,10.130335412934707
2014,на 1000 родившихся,,Южно-Казахстанская,городское население,,,,8.213658435788819
2015,на 1000 родившихся,,Южно-Казахстанская,городское население,,,,7.874015748031495
2016,на 1000 родившихся,,Южно-Казахстанская,городское население,,,,6.016907011437096
2017,на 1000 родившихся,,Южно-Казахстанская,городское население,,,,5.286822471465982
2018,на 1000 родившихся,,Южно-Казахстанская,городское население,,,,4.82
2010,на 1000 родившихся,,Павлодарская,городское население,,,,9.52834683182468
2011,на 1000 родившихся,,Павлодарская,городское население,,,,9.73731884057971
2012,на 1000 родившихся,,Павлодарская,городское население,,,,8.8339222614841
2013,на 1000 родившихся,,Павлодарская,городское население,,,,5.1701852649719955
2014,на 1000 родившихся,,Павлодарская,городское население,,,,3.4714688652636148
2015,на 1000 родившихся,,Павлодарская,городское население,,,,5.024027959807777
2016,на 1000 родившихся,,Павлодарская,городское население,,,,3.8944180008654254
2017,на 1000 родившихся,,Павлодарская,городское население,,,,5.685694791903571
2018,на 1000 родившихся,,Павлодарская,городское население,,,,4.02
2010,на 1000 родившихся,,Северо-Казахстанская,городское население,,,,8.452192287374539
2011,на 1000 родившихся,,Северо-Казахстанская,городское население,,,,7.518796992481202
2012,на 1000 родившихся,,Северо-Казахстанская,городское население,,,,7.299270072992702
2013,на 1000 родившихся,,Северо-Казахстанская,городское население,,,,8.995502248875562
2014,на 1000 родившихся,,Северо-Казахстанская,городское население,,,,5.3921568627450975
2015,на 1000 родившихся,,Северо-Казахстанская,городское население,,,,3.966286564204264
2016,на 1000 родившихся,,Северо-Казахстанская,городское население,,,,4.624871531346352
2017,на 1000 родившихся,,Северо-Казахстанская,городское население,,,,4.489337822671157
2018,на 1000 родившихся,,Северо-Казахстанская,городское население,,,,7.07
2010,на 1000 родившихся,,Восточно-Казахстанская,городское население,,,,16.831980763450556
2011,на 1000 родившихся,,Восточно-Казахстанская,городское население,,,,15.17999132571924
2012,на 1000 родившихся,,Восточно-Казахстанская,городское население,,,,14.43355119825708
2013,на 1000 родившихся,,Восточно-Казахстанская,городское население,,,,10.273972602739725
2014,на 1000 родившихся,,Восточно-Казахстанская,городское население,,,,9.389671361502348
2015,на 1000 родившихся,,Восточно-Казахстанская,городское население,,,,8.063432334363661
2016,на 1000 родившихся,,Восточно-Казахстанская,городское население,,,,7.221638655462185
2017,на 1000 родившихся,,Восточно-Казахстанская,городское население,,,,4.931506849315068
2018,на 1000 родившихся,,Восточно-Казахстанская,городское население,,,,6.99
2010,на 1000 родившихся,,г.Нур-Султан,городское население,,,,8.692744901370776
2011,на 1000 родившихся,,г.Нур-Султан,городское население,,,,7.539335664335664
2012,на 1000 родившихся,,г.Нур-Султан,городское население,,,,8.117045796171961
2013,на 1000 родившихся,,г.Нур-Султан,городское население,,,,5.708765150184437
2014,на 1000 родившихся,,г.Нур-Султан,городское население,,,,4.366106080206986
2015,на 1000 родившихся,,г.Нур-Султан,городское население,,,,5.108556832694764
2016,на 1000 родившихся,,г.Нур-Султан,городское население,,,,4.0556604433256425
2017,на 1000 родившихся,,г.Нур-Султан,городское население,,,,3.4644385571632363
2018,на 1000 родившихся,,г.Нур-Султан,городское население,,,,4.07
2010,на 1000 родившихся,,г.Алматы,городское население,,,,16.608787558508233
2011,на 1000 родившихся,,г.Алматы,городское население,,,,15.134230739980225
2012,на 1000 родившихся,,г.Алматы,городское население,,,,10.747259088286206
2013,на 1000 родившихся,,г.Алматы,городское население,,,,9.323843416370106
2014,на 1000 родившихся,,г.Алматы,городское население,,,,6.9489544096635925
2015,на 1000 родившихся,,г.Алматы,городское население,,,,6.788447296963713
2016,на 1000 родившихся,,г.Алматы,городское население,,,,5.629321422015542
2017,на 1000 родившихся,,г.Алматы,городское население,,,,4.643773677135525
2018,на 1000 родившихся,,г.Алматы,городское население,,,,6.13
2010,на 1000 родившихся,,Республика Казахстан,сельское население,,,,12.084055266782176
2011,на 1000 родившихся,,Республика Казахстан,сельское население,,,,9.675917715907076
2012,на 1000 родившихся,,Республика Казахстан,сельское население,,,,9.557931748133477
2013,на 1000 родившихся,,Республика Казахстан,сельское население,,,,7.604645588651866
2014,на 1000 родившихся,,Республика Казахстан,сельское население,,,,5.949757602468049
2015,на 1000 родившихся,,Республика Казахстан,сельское население,,,,5.731852886196258
2016,на 1000 родившихся,,Республика Казахстан,сельское население,,,,5.637589958537164
2017,на 1000 родившихся,,Республика Казахстан,сельское население,,,,5.715299964501242
2018,на 1000 родившихся,,Республика Казахстан,сельское население,,,,4.88
2010,на 1000 родившихся,,Акмолинская,сельское население,,,,11.600928074245939
2011,на 1000 родившихся,,Акмолинская,сельское население,,,,9.40032414910859
2012,на 1000 родившихся,,Акмолинская,сельское население,,,,4.841149773071104
2013,на 1000 родившихся,,Акмолинская,сельское население,,,,8.571428571428571
2014,на 1000 родившихся,,Акмолинская,сельское население,,,,6.162828413882583
2015,на 1000 родившихся,,Акмолинская,сельское население,,,,3.2948929159802307
2016,на 1000 родившихся,,Акмолинская,сельское население,,,,3.3545790003354576
2017,на 1000 родившихся,,Акмолинская,сельское население,,,,4.753820033955857
2018,на 1000 родившихся,,Акмолинская,сельское население,,,,2.32
2010,на 1000 родившихся,,Актюбинская,сельское население,,,,13.0718954248366
2011,на 1000 родившихся,,Актюбинская,сельское население,,,,10.138248847926267
2012,на 1000 родившихся,,Актюбинская,сельское население,,,,5.6818181818181825
2013,на 1000 родившихся,,Актюбинская,сельское население,,,,8.8339222614841
2014,на 1000 родившихся,,Актюбинская,сельское население,,,,4.5610034207525665
2015,на 1000 родившихся,,Актюбинская,сельское население,,,,8.598452278589853
2016,на 1000 родившихся,,Актюбинская,сельское население,,,,4.725339633786177
2017,на 1000 родившихся,,Актюбинская,сельское население,,,,5.123278898495037
2018,на 1000 родившихся,,Актюбинская,сельское население,,,,2.38
2010,на 1000 родившихся,,Алматинская,сельское население,,,,7.9531897971936605
2011,на 1000 родившихся,,Алматинская,сельское население,,,,8.281223593037012
2012,на 1000 родившихся,,Алматинская,сельское население,,,,8.937548877220424
2013,на 1000 родившихся,,Алматинская,сельское население,,,,6.426391045895143
2014,на 1000 родившихся,,Алматинская,сельское население,,,,5.938548928479215
2015,на 1000 родившихся,,Алматинская,сельское население,,,,6.29811056682995
2016,на 1000 родившихся,,Алматинская,сельское население,,,,4.56506471355473
2017,на 1000 родившихся,,Алматинская,сельское население,,,,5.526574040597076
2018,на 1000 родившихся,,Алматинская,сельское население,,,,4.94
2010,на 1000 родившихся,,Атырауская,сельское население,,,,15.719801434087147
2011,на 1000 родившихся,,Атырауская,сельское население,,,,12.778752192432975
2012,на 1000 родившихся,,Атырауская,сельское население,,,,9.859885832900883
2013,на 1000 родившихся,,Атырауская,сельское население,,,,5.2264808362369335
2014,на 1000 родившихся,,Атырауская,сельское население,,,,4.003768252472916
2015,на 1000 родившихся,,Атырауская,сельское население,,,,5.0831792975970425
2016,на 1000 родившихся,,Атырауская,сельское население,,,,5.310161718561429
2017,на 1000 родившихся,,Атырауская,сельское население,,,,5.019120458891012
2018,на 1000 родившихся,,Атырауская,сельское население,,,,10.44
2010,на 1000 родившихся,,Западно-Казахстанская,сельское население,,,,12.749827705031011
2011,на 1000 родившихся,,Западно-Казахстанская,сельское население,,,,11.815252416756177
2012,на 1000 родившихся,,Западно-Казахстанская,сельское население,,,,10.730356524749046
2013,на 1000 родившихся,,Западно-Казахстанская,сельское население,,,,5.700871898054997
2014,на 1000 родившихся,,Западно-Казахстанская,сельское население,,,,5.6532663316582905
2015,на 1000 родившихся,,Западно-Казахстанская,сельское население,,,,4.19219606578523
2016,на 1000 родившихся,,Западно-Казахстанская,сельское население,,,,6.935270805812419
2017,на 1000 родившихся,,Западно-Казахстанская,сельское население,,,,6.024096385542169
2018,на 1000 родившихся,,Западно-Казахстанская,сельское население,,,,4.59
2010,на 1000 родившихся,,Жамбылская,сельское население,,,,13.060513713539398
2011,на 1000 родившихся,,Жамбылская,сельское население,,,,8.354402550291303
2012,на 1000 родившихся,,Жамбылская,сельское население,,,,10.964912280701752
2013,на 1000 родившихся,,Жамбылская,сельское население,,,,6.381828015143322
2014,на 1000 родившихся,,Жамбылская,сельское население,,,,3.996975261963919
2015,на 1000 родившихся,,Жамбылская,сельское население,,,,3.8901601830663615
2016,на 1000 родившихся,,Жамбылская,сельское население,,,,3.3764116893701246
2017,на 1000 родившихся,,Жамбылская,сельское население,,,,3.830944142362827
2018,на 1000 родившихся,,Жамбылская,сельское население,,,,3.35
2010,на 1000 родившихся,,Карагандинская,сельское население,,,,7.468259895444362
2011,на 1000 родившихся,,Карагандинская,сельское население,,,,7.544322897019992
2012,на 1000 родившихся,,Карагандинская,сельское население,,,,4.418262150220913
2013,на 1000 родившихся,,Карагандинская,сельское население,,,,9.667440061871616
2014,на 1000 родившихся,,Карагандинская,сельское население,,,,9.912314144109796
2015,на 1000 родившихся,,Карагандинская,сельское население,,,,5.384615384615384
2016,на 1000 родившихся,,Карагандинская,сельское население,,,,4.9220672682526665
2017,на 1000 родившихся,,Карагандинская,сельское население,,,,4.655099449851884
2018,на 1000 родившихся,,Карагандинская,сельское население,,,,3.94
2010,на 1000 родившихся,,Костанайская,сельское население,,,,13.962147067949116
2011,на 1000 родившихся,,Костанайская,сельское население,,,,6.609385327164573
2012,на 1000 родившихся,,Костанайская,сельское население,,,,8.982035928143713
2013,на 1000 родившихся,,Костанайская,сельское население,,,,5.956320317670418
2014,на 1000 родившихся,,Костанайская,сельское население,,,,7.281553398058253
2015,на 1000 родившихся,,Костанайская,сельское население,,,,5.60813179109709
2016,на 1000 родившихся,,Костанайская,сельское население,,,,5.747126436781608
2017,на 1000 родившихся,,Костанайская,сельское население,,,,11.014052411697683
2018,на 1000 родившихся,,Костанайская,сельское население,,,,6.38
2010,на 1000 родившихся,,Кызылординская,сельское население,,,,15.597616543988785
2011,на 1000 родившихся,,Кызылординская,сельское население,,,,14.425645592163846
2012,на 1000 родившихся,,Кызылординская,сельское население,,,,14.767932489451475
2013,на 1000 родившихся,,Кызылординская,сельское население,,,,10.032246506628448
2014,на 1000 родившихся,,Кызылординская,сельское население,,,,5.747126436781608
2015,на 1000 родившихся,,Кызылординская,сельское население,,,,3.883136094674556
2016,на 1000 родившихся,,Кызылординская,сельское население,,,,3.8424591738712777
2017,на 1000 родившихся,,Кызылординская,сельское население,,,,4.060324825986078
2018,на 1000 родившихся,,Кызылординская,сельское население,,,,4.15
2010,на 1000 родившихся,,Мангистауская,сельское население,,,,12.100926879505662
2011,на 1000 родившихся,,Мангистауская,сельское население,,,,12.177985948477753
2012,на 1000 родившихся,,Мангистауская,сельское население,,,,10.792951541850222
2013,на 1000 родившихся,,Мангистауская,сельское население,,,,8.297915401740537
2014,на 1000 родившихся,,Мангистауская,сельское население,,,,4.659289458357602
2015,на 1000 родившихся,,Мангистауская,сельское население,,,,6.7520775623268685
2016,на 1000 родившихся,,Мангистауская,сельское население,,,,5.7441253263707575
2017,на 1000 родившихся,,Мангистауская,сельское население,,,,7.457121551081282
2018,на 1000 родившихся,,Мангистауская,сельское население,,,,5.86
2010,на 1000 родившихся,,Южно-Казахстанская,сельское население,,,,12.16956802063185
2011,на 1000 родившихся,,Южно-Казахстанская,сельское население,,,,8.218959463772743
2012,на 1000 родившихся,,Южно-Казахстанская,сельское население,,,,9.315398514354547
2013,на 1000 родившихся,,Южно-Казахстанская,сельское население,,,,8.337987712439162
2014,на 1000 родившихся,,Южно-Казахстанская,сельское население,,,,6.783369803063457
2015,на 1000 родившихся,,Южно-Казахстанская,сельское население,,,,6.945371978095365
2016,на 1000 родившихся,,Южно-Казахстанская,сельское население,,,,7.76566757493188
2017,на 1000 родившихся,,Южно-Казахстанская,сельское население,,,,6.284099766173033
2018,на 1000 родившихся,,Южно-Казахстанская,сельское население,,,,5.04
2010,на 1000 родившихся,,Павлодарская,сельское население,,,,12.071463061323032
2011,на 1000 родившихся,,Павлодарская,сельское население,,,,8.98876404494382
2012,на 1000 родившихся,,Павлодарская,сельское население,,,,6.695361071257771
2013,на 1000 родившихся,,Павлодарская,сельское население,,,,6.357856494096277
2014,на 1000 родившихся,,Павлодарская,сельское население,,,,5.741626794258371
2015,на 1000 родившихся,,Павлодарская,сельское население,,,,4.66321243523316
2016,на 1000 родившихся,,Павлодарская,сельское население,,,,5.684754521963824
2017,на 1000 родившихся,,Павлодарская,сельское население,,,,4.321988114532686
2018,на 1000 родившихся,,Павлодарская,сельское население,,,,2.76
2010,на 1000 родившихся,,Северо-Казахстанская,сельское население,,,,10.12461059190031
2011,на 1000 родившихся,,Северо-Казахстанская,сельское население,,,,9.603841536614645
2012,на 1000 родившихся,,Северо-Казахстанская,сельское население,,,,9.140008309098462
2013,на 1000 родившихся,,Северо-Казахстанская,сельское население,,,,4.4751830756712785
2014,на 1000 родившихся,,Северо-Казахстанская,сельское население,,,,6.883891693437357
2015,на 1000 родившихся,,Северо-Казахстанская,сельское население,,,,2.688172043010753
2016,на 1000 родившихся,,Северо-Казахстанская,сельское население,,,,7.984031936127744
2017,на 1000 родившихся,,Северо-Казахстанская,сельское население,,,,7.1831708568496655
2018,на 1000 родившихся,,Северо-Казахстанская,сельское население,,,,7.48
2010,на 1000 родившихся,,Восточно-Казахстанская,сельское население,,,,18.74536005939124
2011,на 1000 родившихся,,Восточно-Казахстанская,сельское население,,,,16.523867809057528
2012,на 1000 родившихся,,Восточно-Казахстанская,сельское население,,,,13.1521262604121
2013,на 1000 родившихся,,Восточно-Казахстанская,сельское население,,,,11.198208286674133
2014,на 1000 родившихся,,Восточно-Казахстанская,сельское население,,,,6.9153394803017605
2015,на 1000 родившихся,,Восточно-Казахстанская,сельское население,,,,5.1498127340823965
2016,на 1000 родившихся,,Восточно-Казахстанская,сельское население,,,,7.1742652163850975
2017,на 1000 родившихся,,Восточно-Казахстанская,сельское население,,,,6.063545961678389
2018,на 1000 родившихся,,Восточно-Казахстанская,сельское население,,,,3.82
2010,на 1000 родившихся,девочки,Республика Казахстан,,,,,9.898605120161335
2011,на 1000 родившихся,девочки,Республика Казахстан,,,,,8.389596015495298
2012,на 1000 родившихся,девочки,Республика Казахстан,,,,,7.890907130922224
2013,на 1000 родившихся,девочки,Республика Казахстан,,,,,6.122459873067047
2014,на 1000 родившихся,девочки,Республика Казахстан,,,,,5.218208966019644
2015,на 1000 родившихся,девочки,Республика Казахстан,,,,,4.7575414019993065
2016,на 1000 родившихся,девочки,Республика Казахстан,,,,,4.3882545704524185
2017,на 1000 родившихся,девочки,Республика Казахстан,,,,,4.042311650557542
2018,на 1000 родившихся,девочки,Республика Казахстан,,,,,3.79
2010,на 1000 родившихся,девочки,Акмолинская,,,,,7.259528130671506
2011,на 1000 родившихся,девочки,Акмолинская,,,,,9.22722029988466
2012,на 1000 родившихся,девочки,Акмолинская,,,,,7.380629612893507
2013,на 1000 родившихся,девочки,Акмолинская,,,,,6.259027443428022
2014,на 1000 родившихся,девочки,Акмолинская,,,,,4.160665706513042
2015,на 1000 родившихся,девочки,Акмолинская,,,,,4.232459710239297
2016,на 1000 родившихся,девочки,Акмолинская,,,,,3.9721946375372386
2017,на 1000 родившихся,девочки,Акмолинская,,,,,4.035648225996301
2018,на 1000 родившихся,девочки,Акмолинская,,,,,3.31
2010,на 1000 родившихся,девочки,Актюбинская,,,,,9.535160905840288
2011,на 1000 родившихся,девочки,Актюбинская,,,,,5.093771706413522
2012,на 1000 родившихся,девочки,Актюбинская,,,,,8.326679593931791
2013,на 1000 родившихся,девочки,Актюбинская,,,,,6.292085219119109
2014,на 1000 родившихся,девочки,Актюбинская,,,,,5.127657301570345
2015,на 1000 родившихся,девочки,Актюбинская,,,,,5.109489051094892
2016,на 1000 родившихся,девочки,Актюбинская,,,,,4.591943226883741
2017,на 1000 родившихся,девочки,Актюбинская,,,,,4.8622366288492715
2018,на 1000 родившихся,девочки,Актюбинская,,,,,4.61
2010,на 1000 родившихся,девочки,Алматинская,,,,,7.591504744690464
2011,на 1000 родившихся,девочки,Алматинская,,,,,6.356596087559872
2012,на 1000 родившихся,девочки,Алматинская,,,,,5.8177397646854505
2013,на 1000 родившихся,девочки,Алматинская,,,,,4.187817258883249
2014,на 1000 родившихся,девочки,Алматинская,,,,,4.883095385888681
2015,на 1000 родившихся,девочки,Алматинская,,,,,3.7393386832486026
2016,на 1000 родившихся,девочки,Алматинская,,,,,4.018699253670138
2017,на 1000 родившихся,девочки,Алматинская,,,,,4.03125259745657
2018,на 1000 родившихся,девочки,Алматинская,,,,,3.46
2010,на 1000 родившихся,девочки,Атырауская,,,,,10.249307479224377
2011,на 1000 родившихся,девочки,Атырауская,,,,,10.098290022889456
2012,на 1000 родившихся,девочки,Атырауская,,,,,11.556139198949444
2013,на 1000 родившихся,девочки,Атырауская,,,,,5.620848237097597
2014,на 1000 родившихся,девочки,Атырауская,,,,,4.5563852676876335
2015,на 1000 родившихся,девочки,Атырауская,,,,,4.016064257028112
